aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_product_unoptimiesed;memout_product_unoptimiesed;states_product_unoptimiesed;time_product_unoptimiesed;acc_product_unoptimiesed;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkE/automatonD299.hoa;21;True;False;-1;-1;-1;False;False;2882;0.952338;14;False;False;2126551;6.91489;71;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;False;16304;0.969171;67
temp_hoas/benchmarkE/automatonD123.hoa;5;False;False;17606;0.521708;5;False;False;688;0.034299;9;False;False;7874;0.039803;24;False;False;3661;0.115519;21;False;False;52636;3.09142;13;False;False;70764;3.66264;16;False;False;883;0.031885;18
temp_hoas/benchmarkE/automatonA26.hoa;8;False;False;115;0.003858;4;False;False;117;0.006452;4;False;False;117;0.005631;6;False;False;116;0.005408;4;False;False;116;0.005342;4;False;False;116;0.003874;4;False;False;216;0.006346;6
temp_hoas/benchmarkE/automatonD39.hoa;21;True;False;-1;-1;-1;False;False;2383;1.25864;11;False;False;731834;3.22001;77;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;False;10553;0.414863;77
temp_hoas/benchmarkE/automatonD22.hoa;4;False;False;361;0.007553;7;False;False;379;0.01217;11;False;False;822;0.009863;15;False;False;374;0.009809;7;False;False;5817;0.185361;5;False;False;6957;0.183599;6;False;False;397;0.011203;17
temp_hoas/benchmarkE/automatonD253.hoa;15;False;False;1011776;52.006;23;False;False;39514;3.20651;33;False;False;4057810;9.78933;61;False;False;14926384;1451.87;25;True;False;-1;-1;-1;True;False;-1;-1;-1;False;False;16971;0.672877;59
temp_hoas/benchmarkE/automatonD250.hoa;12;False;False;244179;10.5244;27;False;False;2064;0.296029;14;False;False;175636;0.478393;35;False;False;918022;57.2841;29;False;False;659771;42.3786;29;False;False;767212;42.994;30;False;False;7073;0.249271;35
temp_hoas/benchmarkE/automatonD170.hoa;12;False;False;17470;0.436904;10;False;False;2587;0.036679;18;False;False;24911;0.066594;42;False;False;287239;20.1541;18;False;False;366725;26.1877;16;False;False;445064;15.5337;16;False;False;1378;0.039904;37
temp_hoas/benchmarkE/automatonD150.hoa;12;False;False;725330;41.7194;31;False;False;862;0.996589;11;False;False;3015274;9.18903;91;False;False;5007323;454.125;27;False;False;10977307;1116.04;27;True;False;-1;-1;-1;False;False;862;0.902505;11
temp_hoas/benchmarkE/automatonA45.hoa;7;False;False;6622;0.109715;9;False;False;3437;0.057329;15;False;False;3437;0.038997;21;False;False;11858;0.322815;10;False;False;18593;0.608332;10;False;False;21454;0.599083;10;False;False;1981;0.050741;18
temp_hoas/benchmarkE/automatonC119.hoa;21;False;False;113;0.007383;4;False;False;285;0.028373;10;False;False;629;0.024957;18;False;False;5937;0.340876;14;False;False;8284;0.485963;14;False;False;4968;0.201462;14;False;False;290;0.024364;19
temp_hoas/benchmarkE/automatonC15.hoa;17;False;False;294;0.01452;8;False;False;197;0.012561;8;False;False;197;0.01202;12;False;False;292;0.023672;8;False;False;294;0.021537;8;False;False;294;0.014584;8;False;False;152;0.012124;11
temp_hoas/benchmarkE/automatonA66.hoa;8;False;False;201;0.004511;7;False;False;473;0.031182;12;False;False;2420;0.028052;22;False;False;612;0.011758;11;False;False;11970;0.375117;13;False;False;71484;1.89457;14;False;False;1101;0.032177;25
temp_hoas/benchmarkE/automatonD277.hoa;19;False;False;27515401;1170.15;32;False;False;126702;1.31511;32;False;False;126702;1.13207;34;False;False;490282;33.2977;28;False;False;501866;37.0578;28;False;False;725970;31.3082;28;False;False;40832;1.15034;36
temp_hoas/benchmarkE/automatonC207.hoa;9;False;False;38;0.004397;4;False;False;33;0.00581;4;False;False;33;0.005609;6;False;False;39;0.006086;4;False;False;32;0.006157;4;False;False;38;0.004592;4;False;False;45;0.005753;6
